,blast_id,user_id,date,video,sport,action_type,gender,equipment,thumb,handedness,is_air_swing,back_stroke_time,forward_stroke_time,total_stroke_time,tempo,impact_stroke_speed,back_stroke_length,loft_change,backstroke_rotation,forward_stroke_rotation,face_angle_at_impact,lie_change
158,24820f44-9374-4b77-b29e-f43350ddaf8d,529228,"February 25, 2026 / 11:47am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.52,0.27,0.79,1.9,2.2,4.8,0.7,1.7,2.1,-0.4,-0.7
159,0747f143-4897-4faa-99e0-971d50f2c6e9,529228,"February 25, 2026 / 11:46am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.71,0.30,1.01,2.4,2.3,6.2,1.1,2.8,2.7,0.1,-1.0
160,b3db743f-c8bd-4120-bb45-673489ed4203,529228,"February 25, 2026 / 11:46am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.62,0.28,0.90,2.2,2.4,6.4,0.7,3.5,3.5,0.0,-1.0
161,e02a82f6-91c2-4388-be30-4b2944f475b7,529228,"February 25, 2026 / 11:45am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.31,0.91,1.9,2.4,6.1,1.4,2.4,2.4,0.0,-1.0
162,09c1829e-1b38-430f-a067-6236a98605be,529228,"February 25, 2026 / 11:45am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.61,0.28,0.89,2.1,2.3,5.2,1.2,2.4,1.9,0.5,-0.5
163,0927e5b2-90d5-4a3d-89d5-b52b317834a1,529228,"February 25, 2026 / 11:45am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.58,0.29,0.87,2.0,2.3,5.6,1.2,1.7,1.6,0.1,-0.4
164,6f595c6d-bd68-4c37-a486-035a39d62f8c,529228,"February 25, 2026 / 11:45am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.55,0.30,0.86,1.8,2.4,6.6,1.2,2.6,2.1,0.4,-1.3
165,c14ccfbf-485a-4d3b-8b17-3190a0419f7a,529228,"February 25, 2026 / 11:44am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.58,0.31,0.89,1.9,2.5,6.9,1.2,2.6,2.9,-0.3,-1.1
166,67fd0751-0c96-43a4-a1d4-7e81522a1ef8,529228,"February 25, 2026 / 11:44am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.59,0.30,0.89,1.9,2.4,6.0,0.5,2.0,2.8,-0.9,-0.7
167,f4c4f7d8-54d0-459b-a075-9d270cbff489,529228,"February 25, 2026 / 11:43am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.61,0.31,0.93,2.0,2.4,6.3,1.1,2.5,3.3,-0.7,-1.0
168,865d3b85-41b9-4bda-b5da-95deab72d689,529228,"February 25, 2026 / 11:43am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.54,0.31,0.84,1.8,2.5,6.7,0.9,3.0,3.4,-0.4,-1.0
169,d6d0014a-d21b-45b2-bd3b-7805a5b83906,529228,"February 25, 2026 / 11:43am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.59,0.31,0.90,1.9,2.4,6.7,1.2,3.2,3.2,0.0,-0.7
170,7bb9768c-758d-44ce-9a8f-3cc5531d5133,529228,"February 25, 2026 / 11:42am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.61,0.34,0.95,1.8,2.3,6.7,1.7,2.5,2.1,0.3,-1.0
171,9b114abc-6927-4c48-8368-841d5b0e2a20,529228,"February 25, 2026 / 11:42am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.52,0.29,0.81,1.8,2.4,6.5,1.2,3.5,3.6,0.0,-1.4
172,f765daec-36f3-423d-89ab-82459fbf86e4,529228,"February 25, 2026 / 11:42am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.54,0.30,0.83,1.8,2.4,6.3,1.2,2.6,2.2,0.4,-1.0
173,f88d7bd5-7561-4f9c-9ecf-3508082ecc29,529228,"February 25, 2026 / 11:41am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.32,0.92,1.9,2.1,6.1,1.4,3.2,2.8,0.3,-0.9
174,49a870a2-6c4e-402c-b9b0-a97a4d882be7,529228,"February 25, 2026 / 11:41am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.63,0.32,0.95,2.0,2.2,6.3,1.3,3.1,2.0,1.1,-1.3
175,52696211-ee86-426a-9396-9adbe60801d3,529228,"February 25, 2026 / 7:57am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.58,0.30,0.88,1.9,2.4,6.5,0.6,3.0,2.3,0.7,-0.2
176,e7b1257c-a308-40d3-9be6-ec144aa4bb5b,529228,"February 25, 2026 / 7:57am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.54,0.29,0.84,1.9,2.5,6.4,0.2,3.4,3.7,-0.2,-0.3
177,53ddd508-6664-4791-933d-319840506bf5,529228,"February 25, 2026 / 7:57am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.33,0.93,1.9,2.5,7.2,0.7,3.1,2.2,0.9,-0.2
178,98f7aef3-1959-454b-b7af-8f1fb6b8ce37,529228,"February 25, 2026 / 7:56am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.62,0.30,0.93,2.1,2.4,6.9,0.8,3.2,2.4,0.9,-0.1
179,43450256-6dbe-4d5d-9b07-0fdf4e83c3d2,529228,"February 25, 2026 / 7:56am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.51,0.29,0.80,1.8,2.3,6.1,0.7,2.1,1.9,0.2,0.0
180,df24e472-c911-4fe4-b0c5-b1a5ae2acad4,529228,"February 25, 2026 / 7:55am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.51,0.28,0.79,1.8,2.5,6.1,0.9,2.9,2.0,0.8,-0.1
181,da9dafaa-e525-4268-b005-c19787b57302,529228,"February 25, 2026 / 7:55am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.52,0.29,0.80,1.8,2.6,7.2,0.6,3.9,2.4,1.5,-0.7
182,2cf99652-c0e1-49cb-90a5-d3cbd5601939,529228,"February 25, 2026 / 7:55am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.30,0.89,2.0,2.5,6.8,0.5,3.5,2.5,1.0,-0.4
183,db6b915d-c5a7-4d2a-81e9-56354b8e4421,529228,"February 25, 2026 / 7:54am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.50,0.29,0.80,1.7,2.5,7.5,0.7,4.6,2.7,1.9,-0.3
184,eb32dcc5-41e0-4f28-88c8-6f904acd83e3,529228,"February 25, 2026 / 7:54am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.29,0.90,2.0,2.7,7.1,0.8,3.9,2.1,1.8,-0.6
185,65ac522e-5d19-4743-a256-1e813f1faf8b,529228,"February 25, 2026 / 7:53am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.29,0.89,2.0,2.3,6.6,0.6,2.8,2.2,0.6,-0.1
186,9ad73a04-1bf5-4752-98b4-59ffc76089fa,529228,"February 25, 2026 / 7:53am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.57,0.28,0.85,2.0,2.4,6.3,0.5,3.0,2.2,0.8,-0.5
187,acaa4a6e-a80a-4ed9-af3e-ad4c562870c1,529228,"February 25, 2026 / 7:53am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.56,0.29,0.85,1.9,2.4,6.5,0.1,3.4,2.5,0.9,-0.4
